Initialization time,0.139931

Iteration;Time since initialization (s);Iteration time (s)
1;0.214068;0.074137
2;0.278061;0.063972
3;0.341073;0.0629959
4;0.404534;0.0634439
5;0.467769;0.063199
6;0.531244;0.063458
7;0.59449;0.063226
8;0.657571;0.06306
9;0.720695;0.0631039
10;0.783295;0.0625792
11;0.846636;0.0633199
12;0.909976;0.063319
13;0.974967;0.0649698
14;1.03797;0.062969
15;1.1018;0.063787
16;1.16295;0.0611029
17;1.22645;0.063472
18;1.28744;0.0609429
19;1.351;0.063545
20;1.41459;0.06357
21;1.47825;0.063633
22;1.54154;0.0632758
23;1.60292;0.0613279
24;1.66603;0.063098
25;1.72959;0.0635409
26;1.79304;0.0634341
27;1.85394;0.0608439
28;1.91753;0.0635819
29;1.98056;0.0630071
30;2.04404;0.063468
31;2.10511;0.060972
32;2.16851;0.0633869
33;2.23393;0.065397
34;2.2971;0.063159
35;2.35951;0.0623598
36;2.4233;0.0637691
37;2.4876;0.0642822
38;2.55146;0.0638349
39;2.61477;0.0632939
40;2.67846;0.0636661
41;2.74088;0.0623639
42;2.80509;0.0641921
43;2.86905;0.063946
44;2.93291;0.0638399
45;2.99433;0.0613661
46;3.05807;0.063719
47;3.12158;0.0634952
48;3.19077;0.0691662
49;3.25531;0.064522
50;3.3179;0.0625441
51;3.38178;0.0638578
52;3.44737;0.065573
53;3.51028;0.062896
54;3.57232;0.0619869
55;3.63641;0.0640371
56;3.70083;0.0644011
57;3.76426;0.063411
58;3.82692;0.0626061
59;3.89051;0.0635638
60;3.9541;0.063576
61;4.0175;0.0633779
62;4.07942;0.0618629
63;4.1435;0.0640368
64;4.20837;0.0648532
65;4.27228;0.0638902
66;4.33566;0.0633578
67;4.4001;0.0643981
68;4.46189;0.0617421
69;4.5255;0.0635841
70;4.58924;0.06372
71;4.65448;0.065218
72;4.7167;0.0621541
73;4.78096;0.0642419
74;4.84534;0.0643611
75;4.90907;0.0636911
76;4.97305;0.063946
77;5.03026;0.057183
78;5.0844;0.054111
79;5.13671;0.052289
80;5.18414;0.0474069
81;5.23183;0.0476708
82;5.27928;0.0474298
83;5.3271;0.047801
84;5.37385;0.0467279
85;5.42149;0.0476298
86;5.46789;0.0463769
87;5.51354;0.0456209
88;5.55986;0.0463049
89;5.60696;0.04707
