Initialization time,0.149487

Iteration;Time since initialization (s);Iteration time (s)
1;0.206769;0.057282
2;0.250683;0.0438912
3;0.296382;0.045681
4;0.340245;0.043844
5;0.384505;0.0442412
6;0.433039;0.048516
7;0.478701;0.0456429
8;0.525675;0.0469532
9;0.570348;0.0446541
10;0.613623;0.043258
11;0.659342;0.0457001
12;0.702759;0.0433991
13;0.745603;0.042825
14;0.789636;0.0440149
15;0.834356;0.0447021
16;0.877178;0.042793
17;0.921717;0.044493
18;0.962397;0.0406499
19;1.00578;0.043364
20;1.05196;0.0461628
21;1.09581;0.0438318
22;1.13922;0.0433939
23;1.18088;0.041625
24;1.22472;0.0438211
25;1.26945;0.0447111
26;1.31213;0.0426691
27;1.35389;0.0417268
28;1.39718;0.0432711
29;1.44177;0.0445688
30;1.48638;0.044594
31;1.52667;0.0402539
32;1.5718;0.045115
33;1.61662;0.0447998
34;1.66161;0.04497
35;1.70375;0.042057
36;1.75124;0.0474689
37;1.79527;0.044013
38;1.83804;0.0427549
39;1.88059;0.0425279
40;1.925;0.0443969
41;1.96539;0.0403631
42;2.01313;0.047719
43;2.0563;0.0431499
44;2.10326;0.0469382
45;2.14763;0.0443521
46;2.19545;0.0477951
47;2.24143;0.045959
48;2.28893;0.0474911
49;2.33197;0.043014
50;2.37233;0.040267
51;2.41925;0.046901
52;2.46277;0.043509
53;2.50648;0.0436921
54;2.54899;0.0424719
55;2.5926;0.043597
56;2.63783;0.045207
57;2.68219;0.0443401
58;2.72267;0.0403879
59;2.76906;0.0463681
60;2.81645;0.0473731
61;2.86167;0.0451961
62;2.90749;0.045794
63;2.95452;0.047009
64;2.99919;0.0446551
65;3.04249;0.0432768
66;3.08958;0.0470691
67;3.13301;0.0434179
68;3.17599;0.0428898
69;3.2234;0.047389
70;3.26925;0.045831
71;3.31461;0.045342
72;3.35538;0.0406868
73;3.40095;0.0455451
74;3.44549;0.0445149
75;3.49371;0.0482059
76;3.5375;0.043772
77;3.58247;0.044944
78;3.62516;0.04266
79;3.67016;0.04498
80;3.71429;0.044101
81;3.75903;0.044724
82;3.80493;0.0458801
83;3.85036;0.0454171
84;3.89543;0.0450459
85;3.94101;0.045562
86;3.98772;0.046689
87;4.03001;0.0422621
88;4.07461;0.0445819
89;4.11899;0.0443599
90;4.16352;0.0445139
91;4.20586;0.042249
92;4.24993;0.0440531
93;4.29698;0.0470331
94;4.34108;0.044076
95;4.38582;0.044729
96;4.42752;0.0416651
97;4.47157;0.0440321
98;4.51597;0.044383
99;4.59777;0.0817699
100;4.68011;0.0822909
101;4.7385;0.0583639
102;4.79118;0.052655
103;4.84346;0.0522571
104;4.8871;0.043608
105;4.93656;0.0494399
106;4.97839;0.041723
107;5.02483;0.0464208
108;5.06939;0.0445399
109;5.11518;0.0457699
110;5.15641;0.0412049
111;5.20153;0.0451
112;5.24698;0.0454321
113;5.29093;0.0439279
114;5.33632;0.0453711
115;5.38331;0.046968
116;5.42445;0.0411181
117;5.46932;0.044853
118;5.51387;0.0445299
