Initialization time,0.0974419

Iteration;Time since initialization (s);Iteration time (s)
265;32.0552;0.115477
266;32.1681;0.112792
267;32.283;0.114824
268;32.3981;0.115032
269;32.5131;0.114971
270;32.6278;0.114651
271;32.7449;0.11714
272;32.8599;0.114917
273;32.9743;0.114461
274;33.0885;0.114103
275;33.1997;0.111162
276;33.3133;0.113623
277;33.5178;0.2045
278;33.6399;0.122048
279;33.7579;0.117938
280;33.8768;0.118896
281;33.9916;0.114804
282;34.1047;0.113028
283;34.2179;0.113254
284;34.3311;0.113145
285;34.4441;0.112941
286;34.5582;0.114123
287;34.6743;0.116015
288;34.8071;0.132794
289;34.9213;0.114132
290;35.0357;0.114366
291;35.1487;0.113077
292;35.2618;0.113084
293;35.4691;0.207223
294;35.5887;0.119573
295;35.7026;0.113848
296;35.8298;0.127222
297;35.9527;0.122847
298;36.0668;0.114015
299;36.1817;0.114956
300;36.2937;0.111904
301;36.4104;0.116735
302;36.5246;0.114164
303;36.6383;0.113598
304;36.7562;0.117891
305;36.8708;0.114548
306;36.9863;0.115467
307;37.1005;0.114209
308;37.2146;0.114095
309;37.328;0.113356
310;37.4406;0.112531
311;37.5663;0.12573
312;37.6947;0.12826
313;37.8377;0.142987
314;37.9815;0.14383
315;38.1252;0.143595
316;38.2598;0.134589
317;38.3894;0.129611
318;38.5195;0.130021
319;38.647;0.127458
320;38.7699;0.122941
321;38.8949;0.124969
322;39.0093;0.114351
323;39.1218;0.112473
324;39.235;0.113214
325;39.3479;0.11285
326;39.462;0.11403
327;39.5747;0.112659
328;39.6888;0.114136
329;39.8116;0.122685
330;39.9255;0.113908
331;40.0386;0.113086
332;40.1526;0.113934
333;40.2661;0.113509
334;40.4878;0.221611
335;40.615;0.127198
336;40.7334;0.118431
337;40.8517;0.118263
338;40.9636;0.111844
339;41.0783;0.114638
340;41.1951;0.116271
341;41.3096;0.114473
342;41.5209;0.211234
343;41.6503;0.129441
344;41.7817;0.131291
345;41.8965;0.11484
346;42.0108;0.114238
347;42.1253;0.114436
348;42.241;0.115741
349;42.3529;0.11184
350;42.4669;0.113958
351;42.5804;0.113457
352;42.6939;0.113525
353;42.8181;0.12412
354;42.9334;0.115274
355;43.0486;0.115229
356;43.1629;0.1143
357;43.2769;0.113994
358;43.4827;0.205697
359;43.6099;0.12718
